Capital,Assets (var name),Name for drop down menu,Individual Items (var name),Variable labels,Notes
Human,Childcare_index,Single-Parent Households,single_parent_percent,% children living in single-parent households,
Human,Childcare_index,Childcare Deserts,pop_desert_percent,% pop in childcare desert,
Human,Childcare_index,Women Without HS Diploma,no_diploma_percent,% females 18+ without hs degree,
Human,Despair_index,Despair Index,Despair_index,"Deaths of despair composite index of 3 items, quintiles",
Human,Despair_index,Alcohol Deaths,alc_rate_per_100k,"Alchol death rate per 100,000 people",
Human,Despair_index,Drug Deaths,drug_rate_per_100k,"Drug death rate per 100,000 people",
Human,Despair_index,Suicide Deaths,suicide_rate_per_100k,"Suicide death rate per 100,000 people",
Social,Social_Relationships_Index,Social Relationships Index,social_relationships_index,"Social Relationships Composite Index of 6 Items,  Quintile Average",
Social,Social_Relationships_Index,Juvenile arrests,Juvenile_arrests,Juvenile Arrests per 1000 Juveniles,
Social,Social_Relationships_Index,Violent Crime,Violent_Crime,"Violent Crimes per 100,000 People",
Social,Social_Relationships_Index,Grandparent Co-residence,Grandparent_Co-residence,Percentage of Households with Children Under 18 Living with Grandparents,
Social,Social_Relationships_Index,Homeowners,Homeowners,Percentage of Homeowners,
Social,Social_Relationships_Index,Residential Stability,Residential_Stability,Percentage of Homeowners Living in Same Home as Previous Year,
Social,Social_Relationships_Index,Unrelated Co-residence,Unrelated_Co-residence,Percentage of Households with Cohabitating Non-relatives/Non-partners,
Social,Social_Isolation_Index,Social Isolation Index,social_isolation_index,"Social Isolation Composite Index of 6 Items, Quintile Average",
Social,Social_Isolation_Index,Computer Smartphone,Computer_Smartphone,Percentage of Residents Owning a Personal Computer or Smartphone,
Social,Social_Isolation_Index,Long Commute,Long_Commute,Percentage of Lone Commuters with Long (30+ min.) Commutes,
Social,Social_Isolation_Index,English Proficiency,English_Proficiency,Percentage of Resdients Not Proficient in English,
Social,Social_Isolation_Index,Elder Alone,Elder_Alone,Percentage of Residents 65+ Living Alone,
Social,Social_Isolation_Index,Mental Health,Mental_Health,Percent of People with 14 or More Poor Mental Health Days per Month,
Social,Social_Isolation_Index,Suicide Rate,Suicide_Rate,Suicide Rate per 1000 People,
Social,Social_Infrastructure_Index,Social Infrastructure Index,social_infrastructure_index,Child,
Social,Social_Infrastructure_Index,High School,High_School,Percentage 18-24 Without High School Diploma/Equivalent,
Social,Social_Infrastructure_Index,Population Change,Population_Change,Percentage Change in County Population 2014-2019,
Social,Social_Infrastructure_Index,Organizations,Organizations,Tax Exempt Churches and Organizations per 1000 People,
Social,Social_Infrastructure_Index,Volunteering Opportunity,Volunteering_Opportunity,AmeriCorps/SeniorCorps Service Locations per 1000 People,
Social,Community_Engagement_Index,Community Engagement Index,social_associations,Single Indicator,
Social,Community_Engagement_Index,Social Associations,Social_Associations,"Number of Social Organization Memberships per 10,000 People",
Natural,Quantity_of_Resources,Quantity of Resources,resource_quanity_index,"Resource Quantity Composite Index of 4 items, Quintile Average",
Natural,Quantity_of_Resources,Farmland,Farmland,Proportion of Farm Acreage in County,
Natural,Quantity_of_Resources,Lakes,Lakes,Proportion of County Acreage Covered by Lakes,
Natural,Quantity_of_Resources,Forestry,Forestry,Percentage Sales of Forest Products per 10000 Acres,
Natural,Quantity_of_Resources,Agri-Tourism Recreation,Agri-Tourism_Recreation,Percentage Agri-Tourism and Recreational Services per 10000 Acres,
Natural,Quality_of_Resources,Quality of Resources,resource_quality_indicator,Single Indicator,
Natural,Quality_of_Resources,Air Quality,Air_Quality,Air Pollution in County Relative to State Average (z score),
Natural,Access_to_Resources,Access to Resources,resource_access_index,"Resource Access Composite Index of 3 items, Quintile Average",
Natural,Access_to_Resources,Trails,Trails,Count of Hiking and Walking Trails in County,
Natural,Access_to_Resources,State Parks,State_Parks,Count of State Parks in County,
Natural,Access_to_Resources,Public Access,Public_Access,Count of Public Access Land Plots in County,
Natural,Conservation_Effort,Conservation Effort,conservation_effort_index,"Conservation Effort Composite Index of 4 items, Quintile Average",
Natural,Conservation_Effort,Pollinator Habitat,Pollinator_Habitat,CRP Pollinator Habitat per 1000 County Acres,
Natural,Conservation_Effort,Wildlife Enhancement,Wildlife_Enhancement,CRP Wildlife Habitat per 1000 County Acres,
Natural,Conservation_Effort,Declining Habitat,Declining_Habitat,CRP Rare/Declining Habitat per 1000 County Acres,
Natural,Conservation_Effort,Wind Power,Wind_Power,Wind Turbine Production KW per 1000 People,
